start,hr,temp,day,ID,label,date,shift_code,start_datetime,end_datetime
2025-03-07 16:20:00+01:00,100.0,37.123,2025-03-07,103019.0,1.0,2025-03-07,5,2025-03-07 09:00:00+01:00,2025-03-07 17:54:00+01:00
2025-03-07 16:30:00+01:00,91.0,37.059,2025-03-07,103019.0,1.0,2025-03-07,5,2025-03-07 09:00:00+01:00,2025-03-07 17:54:00+01:00
2025-03-07 16:40:00+01:00,93.0,37.043,2025-03-07,103019.0,1.0,2025-03-07,5,2025-03-07 09:00:00+01:00,2025-03-07 17:54:00+01:00
2025-03-07 16:50:00+01:00,82.0,37.051,2025-03-07,103019.0,1.0,2025-03-07,5,2025-03-07 09:00:00+01:00,2025-03-07 17:54:00+01:00
2025-03-07 17:00:00+01:00,91.0,37.039,2025-03-07,103019.0,1.0,2025-03-07,5,2025-03-07 09:00:00+01:00,2025-03-07 17:54:00+01:00
2025-03-07 17:10:00+01:00,39.0,37.023,2025-03-07,103019.0,1.0,2025-03-07,5,2025-03-07 09:00:00+01:00,2025-03-07 17:54:00+01:00
2025-03-07 17:20:00+01:00,99.0,37.036,2025-03-07,103019.0,1.0,2025-03-07,5,2025-03-07 09:00:00+01:00,2025-03-07 17:54:00+01:00
2025-03-07 17:30:00+01:00,46.0,37.056,2025-03-07,103019.0,1.0,2025-03-07,5,2025-03-07 09:00:00+01:00,2025-03-07 17:54:00+01:00
2025-03-07 17:40:00+01:00,97.0,38.424,2025-03-07,103019.0,1.0,2025-03-07,5,2025-03-07 09:00:00+01:00,2025-03-07 17:54:00+01:00
2025-03-07 17:50:00+01:00,61.0,37.496,2025-03-07,103019.0,1.0,2025-03-07,5,2025-03-07 09:00:00+01:00,2025-03-07 17:54:00+01:00
2025-03-11 22:00:00+01:00,90.0,37.067,2025-03-11,103019.0,1.0,2025-03-11,3,2025-03-11 22:00:00+01:00,2025-03-12 07:30:00+01:00
2025-03-11 22:10:00+01:00,86.0,37.109,2025-03-11,103019.0,1.0,2025-03-11,3,2025-03-11 22:00:00+01:00,2025-03-12 07:30:00+01:00
2025-03-11 22:20:00+01:00,91.0,37.086,2025-03-11,103019.0,1.0,2025-03-11,3,2025-03-11 22:00:00+01:00,2025-03-12 07:30:00+01:00
2025-03-11 22:30:00+01:00,92.0,37.074,2025-03-11,103019.0,1.0,2025-03-11,3,2025-03-11 22:00:00+01:00,2025-03-12 07:30:00+01:00
2025-03-11 22:40:00+01:00,106.0,37.072,2025-03-11,103019.0,1.0,2025-03-11,3,2025-03-11 22:00:00+01:00,2025-03-12 07:30:00+01:00
2025-03-11 22:50:00+01:00,75.0,37.057,2025-03-11,103019.0,1.0,2025-03-11,3,2025-03-11 22:00:00+01:00,2025-03-12 07:30:00+01:00
2025-03-11 23:00:00+01:00,103.0,37.103,2025-03-11,103019.0,1.0,2025-03-11,3,2025-03-11 22:00:00+01:00,2025-03-12 07:30:00+01:00
2025-03-11 23:10:00+01:00,103.0,37.117,2025-03-11,103019.0,1.0,2025-03-11,3,2025-03-11 22:00:00+01:00,2025-03-12 07:30:00+01:00
2025-03-11 23:20:00+01:00,93.0,37.135,2025-03-11,103019.0,1.0,2025-03-11,3,2025-03-11 22:00:00+01:00,2025-03-12 07:30:00+01:00
2025-03-11 23:30:00+01:00,89.0,37.152,2025-03-11,103019.0,1.0,2025-03-11,3,2025-03-11 22:00:00+01:00,2025-03-12 07:30:00+01:00
